datetime_utc,percentage(t-11),wind_100(t-11),percentage(t-10),wind_100(t-10),percentage(t-9),wind_100(t-9),percentage(t-8),wind_100(t-8),percentage(t-7),wind_100(t-7),percentage(t-6),wind_100(t-6),percentage(t-5),wind_100(t-5),percentage(t-4),wind_100(t-4),percentage(t-3),wind_100(t-3),percentage(t-2),wind_100(t-2),percentage(t-1),wind_100(t-1),percentage(t),wind_100(t),wind_100(t+1),wind_100(t+2),wind_100(t+3),wind_100(t+4),wind_100(t+5),wind_100(t+6)
2020-05-09 09:00:00+00:00,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,0.0805623864095697,5.002131,0.09349418591109766,5.329457,5.632954,5.8806615,5.9988503,5.9788036,5.884217,5.7775264
2020-05-09 10:00:00+00:00,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,0.0805623864095697,5.002131,0.09349418591109766,5.329457,0.1239197132047474,5.632954,5.8806615,5.9988503,5.9788036,5.884217,5.7775264,5.576927
2020-05-09 11:00:00+00:00,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,0.0805623864095697,5.002131,0.09349418591109766,5.329457,0.1239197132047474,5.632954,0.17489926185212423,5.8806615,5.9988503,5.9788036,5.884217,5.7775264,5.576927,5.290171
2020-05-09 12:00:00+00:00,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,0.0805623864095697,5.002131,0.09349418591109766,5.329457,0.1239197132047474,5.632954,0.17489926185212423,5.8806615,0.21911828621330262,5.9988503,5.9788036,5.884217,5.7775264,5.576927,5.290171,5.1121893
2020-05-09 13:00:00+00:00,0.1291595947274145,3.851732,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,0.0805623864095697,5.002131,0.09349418591109766,5.329457,0.1239197132047474,5.632954,0.17489926185212423,5.8806615,0.21911828621330262,5.9988503,0.24868845195246614,5.9788036,5.884217,5.7775264,5.576927,5.290171,5.1121893,4.9971924
2020-05-09 14:00:00+00:00,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,0.0805623864095697,5.002131,0.09349418591109766,5.329457,0.1239197132047474,5.632954,0.17489926185212423,5.8806615,0.21911828621330262,5.9988503,0.24868845195246614,5.9788036,0.26197506809881826,5.884217,5.7775264,5.576927,5.290171,5.1121893,4.9971924,5.123192
2020-05-09 15:00:00+00:00,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,0.0805623864095697,5.002131,0.09349418591109766,5.329457,0.1239197132047474,5.632954,0.17489926185212423,5.8806615,0.21911828621330262,5.9988503,0.24868845195246614,5.9788036,0.26197506809881826,5.884217,0.2792280274533803,5.7775264,5.576927,5.290171,5.1121893,4.9971924,5.123192,5.3108253
2020-05-09 16:00:00+00:00,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,0.0805623864095697,5.002131,0.09349418591109766,5.329457,0.1239197132047474,5.632954,0.17489926185212423,5.8806615,0.21911828621330262,5.9988503,0.24868845195246614,5.9788036,0.26197506809881826,5.884217,0.2792280274533803,5.7775264,0.2758319252814945,5.576927,5.290171,5.1121893,4.9971924,5.123192,5.3108253,5.449935
2020-05-09 17:00:00+00:00,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,0.0805623864095697,5.002131,0.09349418591109766,5.329457,0.1239197132047474,5.632954,0.17489926185212423,5.8806615,0.21911828621330262,5.9988503,0.24868845195246614,5.9788036,0.26197506809881826,5.884217,0.2792280274533803,5.7775264,0.2758319252814945,5.576927,0.2495945015990699,5.290171,5.1121893,4.9971924,5.123192,5.3108253,5.449935,5.554656
2020-05-09 18:00:00+00:00,0.07590541794625599,4.480387,0.0805623864095697,5.002131,0.09349418591109766,5.329457,0.1239197132047474,5.632954,0.17489926185212423,5.8806615,0.21911828621330262,5.9988503,0.24868845195246614,5.9788036,0.26197506809881826,5.884217,0.2792280274533803,5.7775264,0.2758319252814945,5.576927,0.2495945015990699,5.290171,0.20979801327516073,5.1121893,4.9971924,5.123192,5.3108253,5.449935,5.554656,5.589169
