valid_time,u100,v100,u10,v10,wind_10,wind_100
2020-01-06 10:00:00,-0.7829371,-0.1623569,-0.6659389,-0.25808194,2.086157,2.7418478
2020-01-06 11:00:00,-0.52990997,-0.15179488,-0.5103461,-0.21707681,1.8927944,2.3394616
2020-01-06 12:00:00,-0.39161998,-0.15764074,-0.38156608,-0.20171572,1.898295,2.2418237
2020-01-06 13:00:00,-0.22070792,-0.19472511,-0.24534006,-0.22439529,1.9524869,2.2799041
2020-01-06 14:00:00,-0.13892001,-0.2782101,-0.18122642,-0.28208542,1.9493062,2.2808015
2020-01-06 15:00:00,-0.069579646,-0.433498,-0.13418777,-0.40828353,1.8993549,2.2492068
2020-01-06 16:00:00,0.031868987,-0.71207833,-0.07247225,-0.5833383,1.9146533,2.4094195
2020-01-06 17:00:00,0.10045508,-0.9768887,0.013362219,-0.7489502,2.0082567,2.4909823
2020-01-06 18:00:00,0.094145164,-1.197398,-0.034111276,-0.8525974,1.9968761,2.6054726
2020-01-06 19:00:00,0.02984245,-1.304539,-0.11025987,-0.8793697,2.0451658,2.7115574
2020-01-06 20:00:00,-0.014650093,-1.386056,-0.1524186,-0.88773334,2.0627344,2.8078618
2020-01-06 21:00:00,-0.124076806,-1.4111993,-0.21452686,-0.8571103,2.0526752,2.8722637
2020-01-06 22:00:00,-0.13180849,-1.2188208,-0.11447745,-0.7438683,2.038518,2.8832703
2020-01-06 23:00:00,-0.12705724,-1.2500519,-0.06656481,-0.75807893,2.061859,2.9299238
2020-01-07 00:00:00,-0.22179802,-1.2470764,-0.10023178,-0.7528648,2.1208682,2.9545622
2020-01-07 01:00:00,-0.3071402,-1.1863599,-0.15706001,-0.7191488,2.1480656,2.9978266
2020-01-07 02:00:00,-0.34931752,-1.192412,-0.18991715,-0.7554347,2.1610317,3.013558
2020-01-07 03:00:00,-0.43300366,-1.2688808,-0.24251316,-0.8252011,2.1648996,3.0080187
2020-01-07 04:00:00,-0.41728258,-1.2959509,-0.23838994,-0.8570533,2.1709127,2.9943151
2020-01-07 05:00:00,-0.39387655,-1.2536075,-0.23170161,-0.8490569,2.2020557,3.0170343
2020-01-07 06:00:00,-0.47070378,-1.1995239,-0.29894227,-0.816582,2.217716,3.0425472
2020-01-07 07:00:00,-0.48453766,-0.96617556,-0.33463588,-0.6621118,2.185058,2.9735882
2020-01-07 08:00:00,-0.48805583,-0.89196813,-0.34218338,-0.5971,2.1717982,2.9389164
2020-01-07 09:00:00,-0.51122105,-0.79682857,-0.3640383,-0.5594744,2.2167335,2.9010005
2020-01-07 10:00:00,-0.4906946,-0.6536784,-0.29267082,-0.4622114,2.0362592,2.7504866
2020-01-07 11:00:00,-0.07671065,-0.60076636,-0.0440884,-0.46338034,1.9110254,2.4088852
2020-01-07 12:00:00,0.17481399,-0.6688391,0.1427251,-0.5482739,1.9938326,2.4014957
2020-01-07 13:00:00,0.35684973,-0.76627034,0.29345194,-0.62855905,2.071499,2.4664323
2020-01-07 14:00:00,0.4779707,-0.85956585,0.3787068,-0.689503,2.1209664,2.5309603
2020-01-07 15:00:00,0.44563884,-0.9019726,0.32140243,-0.6794147,2.1136148,2.590938
2020-01-07 16:00:00,0.53463054,-0.93499655,0.34103024,-0.59193826,2.0787601,2.7545197
2020-01-07 17:00:00,0.583225,-0.9948244,0.44986922,-0.58705795,2.2542396,2.929055
2020-01-07 18:00:00,0.6119882,-1.1330267,0.45010534,-0.62795174,2.2679489,3.0578697
2020-01-07 19:00:00,0.6332789,-1.1684018,0.44949615,-0.61985075,2.2489736,3.0898962
2020-01-07 20:00:00,0.6256893,-1.20746,0.44269347,-0.6213865,2.2348943,3.1007733
2020-01-07 21:00:00,0.6229384,-1.0996727,0.43608493,-0.53950435,2.2022836,3.046385
2020-01-07 22:00:00,0.7523182,-1.056537,0.47347966,-0.51820797,2.2135196,3.0697546
2020-01-07 23:00:00,0.7601779,-0.9968734,0.50413024,-0.44688272,2.2257757,3.0738328
2020-01-08 00:00:00,0.76876485,-1.111342,0.5380955,-0.513545,2.265177,3.1450918
2020-01-08 01:00:00,0.7306646,-1.1094503,0.5220148,-0.5177877,2.2443104,3.1287136
2020-01-08 02:00:00,0.569908,-1.1910683,0.41475433,-0.5715486,2.208668,3.0952907
2020-01-08 03:00:00,0.3379041,-1.2868584,0.271268,-0.6343224,2.1628256,3.0592515
2020-01-08 04:00:00,0.14628142,-1.3524344,0.15088889,-0.7107841,2.11122,3.017459
2020-01-08 05:00:00,-0.030883897,-1.3921896,0.024373919,-0.7663937,2.0620298,2.9563918
2020-01-08 06:00:00,-0.26411244,-1.4454879,-0.12953748,-0.80109847,2.0459607,2.9335845
2020-01-08 07:00:00,-0.5147741,-1.3968958,-0.28086928,-0.7747954,2.029701,2.8978372
2020-01-08 08:00:00,-0.7453513,-1.3696568,-0.4238857,-0.75974065,2.063457,2.9320712
2020-01-08 09:00:00,-0.937544,-1.2107029,-0.5442226,-0.7462861,2.1336346,2.9053662
2020-01-08 10:00:00,-1.0361366,-1.0382303,-0.6391842,-0.66870105,1.9566981,2.716344
2020-01-08 11:00:00,-0.82413644,-0.8213917,-0.5979464,-0.6529606,1.8253353,2.3098316
2020-01-08 12:00:00,-0.71941316,-0.8127251,-0.56408304,-0.71365726,1.8734722,2.2406523
2020-01-08 13:00:00,-0.6781888,-0.86488754,-0.5487726,-0.7814643,1.9742147,2.3211389
2020-01-08 14:00:00,-0.68285507,-0.9222202,-0.5606765,-0.8416555,2.1014252,2.4684384
2020-01-08 15:00:00,-0.7758863,-0.9189823,-0.6425353,-0.8489391,2.2083948,2.6358116
2020-01-08 16:00:00,-0.8588359,-0.9465329,-0.6460095,-0.8599015,2.2305253,2.842558
2020-01-08 17:00:00,-0.9717678,-0.89355564,-0.74964476,-0.78768617,2.4451125,3.126701
2020-01-08 18:00:00,-1.1194794,-0.9220751,-0.86211693,-0.8211952,2.535683,3.3696709
2020-01-08 19:00:00,-1.1945482,-0.8343995,-0.9069918,-0.7872132,2.562604,3.495915
2020-01-08 20:00:00,-1.2878478,-0.70209616,-0.9767723,-0.72729117,2.5896888,3.595933
2020-01-08 21:00:00,-1.3324804,-0.5017926,-1.0202785,-0.60463756,2.6087122,3.6601503
2020-01-08 22:00:00,-1.0824721,-0.2676739,-0.90661025,-0.43800065,2.573267,3.6844401
2020-01-08 23:00:00,-0.97282535,-0.07715894,-0.84297496,-0.32546496,2.5315692,3.6519582
2020-01-09 00:00:00,-0.8722142,0.10772991,-0.78139055,-0.21919838,2.5056179,3.6413715
2020-01-09 01:00:00,-0.7535192,0.2959059,-0.7137364,-0.10314603,2.4961865,3.6300933
2020-01-09 02:00:00,-0.6657639,0.39296147,-0.67318064,-0.044096336,2.500979,3.6365547
2020-01-09 03:00:00,-0.548411,0.4913385,-0.60261524,0.023092918,2.5265002,3.6757135
2020-01-09 04:00:00,-0.38629746,0.47686392,-0.5064716,0.022957982,2.553364,3.7033026
2020-01-09 05:00:00,-0.2053909,0.5699991,-0.407633,0.10353718,2.5797813,3.7325957
2020-01-09 06:00:00,-0.12354019,0.58318996,-0.3639481,0.1342143,2.5833743,3.728796
2020-01-09 07:00:00,-0.0015910707,0.7403048,-0.29640558,0.24706712,2.5676792,3.7170677
2020-01-09 08:00:00,0.060017046,0.88960254,-0.2576161,0.35384375,2.5721822,3.727248
2020-01-09 09:00:00,0.20490752,1.0660932,-0.14910316,0.50941706,2.6408772,3.7534134
2020-01-09 10:00:00,0.4276719,1.095875,0.024278749,0.62553704,2.5254502,3.5605474
2020-01-09 11:00:00,0.63931113,1.1608704,0.27762693,0.73591304,2.6265688,3.5159583
2020-01-09 12:00:00,1.1367776,1.0428349,0.70175076,0.6834153,2.8386137,3.7364452
2020-01-09 13:00:00,1.6030449,0.8363511,1.0828325,0.5640575,3.0391793,3.9770508
2020-01-09 14:00:00,1.9657489,0.5234647,1.3526784,0.33340764,3.2078538,4.2444487
2020-01-09 15:00:00,2.1697242,0.23103178,1.4796185,0.10635442,3.2539792,4.4159527
2020-01-09 16:00:00,2.3015788,-0.020550601,1.4977875,-0.11098307,3.1943038,4.6333966
2020-01-09 17:00:00,2.5252056,-0.216382,1.5218294,-0.14082292,3.1004367,4.753215
2020-01-09 18:00:00,2.679596,-0.40478545,1.5965657,-0.16556053,3.04351,4.716641
2020-01-09 19:00:00,2.9086285,-0.5894005,1.7598248,-0.23537923,3.0561063,4.7286935
2020-01-09 20:00:00,3.1013062,-0.7752756,1.8993704,-0.31087083,3.1263578,4.8249764
2020-01-09 21:00:00,3.2709987,-1.0434792,2.0202634,-0.46389925,3.2854023,5.0560875
2020-01-09 22:00:00,3.2919574,-0.8076722,1.9737574,-0.2769155,3.2792428,5.0750837
2020-01-09 23:00:00,3.50719,-1.1830322,2.1543176,-0.45077118,3.48718,5.3392777
2020-01-10 00:00:00,3.6358337,-1.6865047,2.29466,-0.76410216,3.6562352,5.5714135
2020-01-10 01:00:00,3.5774035,-2.0782514,2.3144956,-0.9989628,3.716924,5.6536508
2020-01-10 02:00:00,3.3870652,-2.408204,2.2418842,-1.196963,3.7501192,5.6820292
2020-01-10 03:00:00,3.1706667,-2.6269612,2.1496875,-1.3513108,3.7380195,5.662658
2020-01-10 04:00:00,2.9595828,-2.8329277,2.0678887,-1.5095521,3.7089367,5.598102
2020-01-10 05:00:00,2.757855,-3.1733065,1.9646488,-1.7613806,3.7396133,5.6476126
2020-01-10 06:00:00,2.4323318,-3.4815497,1.7661943,-1.9878471,3.7276137,5.658377
2020-01-10 07:00:00,2.1212933,-3.6881917,1.5738546,-2.1391451,3.7709434,5.7382946
2020-01-10 08:00:00,1.7593889,-3.929452,1.3403695,-2.3319945,3.8554494,5.829832
2020-01-10 09:00:00,1.3734293,-4.0515904,1.103865,-2.6143858,4.02679,5.794785
2020-01-10 10:00:00,1.0396674,-4.1677985,0.80626404,-2.994777,4.22304,5.6921377
2020-01-10 11:00:00,0.59681284,-4.4428496,0.47439122,-3.3830867,4.516541,5.836687
2020-01-10 12:00:00,0.115962245,-4.7677007,0.104874715,-3.6838512,4.740338,6.061366
2020-01-10 13:00:00,-0.34236267,-4.972033,-0.25193855,-3.8536553,4.8707,6.216574
